Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,4.183459,4.0436044,37.398075,0.024759665,0.00029922443,0.19974148,0.00049873325,1202.5,-73.03909556241706,-73.03909556241706,1.0
100000,4.170886,2.2257166,70.28418,0.02507424,0.00029783032,0.19927678,0.00049645617,1202.3809523809523,-115.0869004213739,-115.0869004213739,1.0
150000,4.1115847,1.1388372,61.24074,0.02575672,0.00029628343,0.19876114,0.0004939296,1202.3636363636363,-93.24971084025773,-93.24971084025773,1.0
200000,4.0616937,0.34344018,40.61595,0.024045397,0.00029473455,0.19824481,0.00049139967,1202.4,-63.45727286208421,-63.45727286208421,1.0
250000,4.0333586,-0.16894507,57.892975,0.023588005,0.0002931888,0.19772962,0.0004888751,1202.3809523809523,-85.68838628647583,-85.68838628647583,1.0
300000,3.972166,-0.3063654,33.3431,0.023420453,0.00029164547,0.19721515,0.0004863542,1193.547619047619,-50.50129311301169,-50.50129311301169,1.0
350000,3.8717701,-0.13821778,20.289078,0.025236048,0.00029025323,0.19675109,0.0004840803,1202.357142857143,-23.695950181888684,-23.695950181888684,1.0
400000,3.8003812,-0.030971346,8.620493,0.025070643,0.00028885662,0.19628555,0.00048179916,1202.3333333333333,-13.972579760920434,-13.972579760920434,1.0
450000,3.70269,0.07661323,3.8805695,0.024655195,0.00028730807,0.19576934,0.00047926983,1202.3809523809523,-2.963006116449833,-2.963006116449833,1.0
500000,3.6082451,0.17692773,13.677854,0.02307058,0.00028576914,0.19525638,0.0004767562,1202.35,-12.198817448690534,-12.198817448690534,1.0
550000,3.5244973,0.22084129,2.843491,0.023283666,0.0002842282,0.19474272,0.00047423932,1202.3,-2.0608835361897944,-2.0608835361897944,1.0
600000,3.283522,0.290504,0.24562836,0.022849636,0.00028268265,0.19422755,0.00047171497,1202.3181818181818,2.6040892353789373,2.6040892353789373,1.0
650000,3.1176896,0.33951145,0.10627101,0.023141589,0.0002811354,0.19371179,0.00046918783,1202.3157894736842,3.4998857206419896,3.4998857206419896,1.0
700000,2.8876085,0.36931795,0.017643647,0.022821318,0.00027974418,0.19324806,0.00046691543,1202.3636363636363,4.943597309630025,4.943597309630025,1.0
750000,2.779512,0.3897594,0.070039846,0.025982192,0.00027835462,0.19278488,0.0004646459,1202.3333333333333,4.403929267965612,4.403929267965612,1.0
800000,2.5900679,0.41194332,0.41212264,0.023541132,0.00027680973,0.19226989,0.00046212255,1202.3333333333333,4.579659213622411,4.579659213622411,1.0
850000,2.5098603,0.4179172,0.00024377434,0.025958007,0.00027525736,0.19175246,0.00045958706,1202.35,5.766796429827809,5.766796429827809,1.0
